time,length,frequency,pan,gain,voice,event
0.0,52.8625,0.0,-2.696539702293474e308,0.0,2,0
0.0,0.1,0.7197130992728302,-2.696539702293474e308,1.0,1,0
0.0,0.1,0.9245289006293371,-2.696539702293474e308,1.0,0,0
0.0,52.8625,0.0,-2.696539702293474e308,0.0,4,0
0.0,52.8625,0.0,-2.696539702293474e308,0.0,3,0
0.1,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,1
0.1,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,1
0.2,0.1,0.7622162182767288,-2.696539702293474e308,1.0,1,2
0.2,0.1,0.8395226626215401,-2.696539702293474e308,1.0,0,2
0.3,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,3
0.3,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,3
0.4,0.1,0.8221209999510837,-2.696539702293474e308,1.0,0,4
0.4,0.1,0.7466499005804208,-2.696539702293474e308,1.0,1,4
0.5,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,5
0.5,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,5
0.6,0.1,0.8395226626215401,-2.696539702293474e308,1.0,0,6
0.6,0.1,0.7622162182767288,-2.696539702293474e308,1.0,1,6
0.7,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,7
0.7,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,7
0.8,0.1,0.9245289006293371,-2.696539702293474e308,1.0,0,8
0.8,0.1,0.7197130992728302,-2.696539702293474e308,1.0,1,8
0.9,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,9
0.9,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,9
1.0,0.1,0.7622162182767288,-2.696539702293474e308,1.0,1,10
1.0,0.1,0.8395226626215401,-2.696539702293474e308,1.0,0,10
1.1,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,11
1.1,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,11
1.2,0.1,0.7466499005804208,-2.696539702293474e308,1.0,1,12
1.2,0.1,0.8221209999510837,-2.696539702293474e308,1.0,0,12
1.3,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,13
1.3,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,13
1.4,0.1,0.8395226626215401,-2.696539702293474e308,1.0,0,14
1.4,0.1,0.7622162182767288,-2.696539702293474e308,1.0,1,14
1.5,0.1,0.8490578012586742,-2.696539702293474e308,1.0,0,15
1.5,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,15
1.6,0.1,0.8915609202625728,-2.696539702293474e308,1.0,0,16
1.6,0.1,0.7197130992728302,-2.696539702293474e308,1.0,1,16
1.7,0.1,0.8646241189549821,-2.696539702293474e308,1.0,0,17
1.7,0.1,0.7891530195843194,-2.696539702293474e308,1.0,1,17
1.8,0.1,0.8550889803178481,-2.696539702293474e308,1.0,0,18
1.8,0.1,0.7796178809471852,-2.696539702293474e308,1.0,1,18
1.9,0.1,0.7891530195843194,-2.696539702293474e308,1.0,1,19
1.9,0.1,0.8646241189549821,-2.696539702293474e308,1.0,0,19
