time,length,frequency,pan,gain,voice,event
0.0,84.0,1.1102230246251565e-16,0.5,0.0,19,0
0.0,4.0,1.1102230246251565e-16,0.5,0.0,1,0
0.0,12.0,1.1102230246251565e-16,0.5,0.0,13,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,43,0
0.0,0.5,1.1102230246251565e-16,0.8392857142857142,0.0,25,0
0.0,12.0,1.1102230246251565e-16,0.2857142857142857,0.0,55,0
0.0,12.0,1.1102230246251565e-16,0.2857142857142857,0.0,44,0
0.0,12.0,1.1102230246251565e-16,0.5,0.0,15,0
0.0,12.0,1.1102230246251565e-16,0.7857142857142857,0.0,31,0
0.0,12.0,1.1102230246251565e-16,0.7857142857142857,0.0,29,0
0.0,12.0,1.1102230246251565e-16,0.5,0.0,10,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,42,0
0.0,12.0,1.1102230246251565e-16,0.2857142857142857,0.0,45,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,41,0
0.0,0.5,1.1102230246251565e-16,0.5,0.0,4,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,32,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,38,0
0.0,12.0,1.1102230246251565e-16,0.2857142857142857,0.0,54,0
0.0,4.0,1.1102230246251565e-16,0.3214285714285714,0.0,22,0
0.0,0.5,1.1102230246251565e-16,0.5,0.0,7,0
0.0,12.0,1.1102230246251565e-16,0.7857142857142857,0.0,28,0
0.0,84.0,1.1102230246251565e-16,0.5,0.0,16,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,34,0
0.0,12.0,1.1102230246251565e-16,0.2857142857142857,0.0,53,0
0.0,4.0,1.1102230246251565e-16,0.5,0.0,3,0
0.0,0.5,1.1102230246251565e-16,0.7321428571428571,0.0,24,0
0.0,0.5,1.1102230246251565e-16,0.8928571428571428,0.0,26,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,36,0
0.0,4.0,1.1102230246251565e-16,0.1607142857142857,0.0,20,0
0.0,84.0,1.1102230246251565e-16,0.5,0.0,18,0
0.0,84.0,1.1102230246251565e-16,0.5,0.0,17,0
0.0,12.0,1.1102230246251565e-16,0.5,0.0,8,0
0.0,4.0,1.1102230246251565e-16,0.2678571428571428,0.0,21,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,40,0
0.0,4.0,1.1102230246251565e-16,0.5,0.0,0,0
0.0,12.0,1.1102230246251565e-16,0.5,0.0,12,0
0.0,12.0,1.1102230246251565e-16,0.5,0.0,9,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,39,0
0.0,4.0,1.1102230246251565e-16,0.5,0.0,2,0
0.0,12.0,1.1102230246251565e-16,0.2857142857142857,0.0,46,0
0.0,0.5,1.1102230246251565e-16,0.5,0.0,5,0
0.0,12.0,1.1102230246251565e-16,0.7857142857142857,0.0,30,0
0.0,12.0,1.1102230246251565e-16,0.7142857142857142,0.0,35,0
0.0,12.0,1.1102230246251565e-16,0.5,0.0,11,0
