time,length,frequency,pan,gain,voice,event
0.0,72.0,0.0,0.5,0.0,18,0
0.0,72.0,0.0,0.5,0.0,26,0
0.0,0.125,0.8549051760125779,0.875,1.0,2,0
0.0,0.125,0.8539535337350149,0.1250000000000001,1.0,3,0
0.0,0.5,0.6451565237964171,0.875,1.0,6,0
0.0,72.0,0.0,0.5,0.0,27,0
0.0,72.0,0.0,0.5,0.0,19,0
0.0,0.5,0.7347760181940478,0.0,0.0625,4,0
0.0,0.5,0.640465150301261,0.1250000000000001,1.0,7,0
0.0,72.0,0.0,0.5,0.0,25,0
0.0,72.0,0.0,0.5,0.0,24,0
0.0,72.0,0.0,0.5,0.0,23,0
0.0,72.0,0.0,0.5,0.0,22,0
0.0,72.0,0.0,0.5,0.0,21,0
0.0,0.125,0.9458979759009166,1.0,0.0625,1,0
0.0,0.5,0.732409592467163,1.0,0.0625,5,0
0.0,72.0,0.0,0.5,0.0,20,0
0.0,72.0,0.0,0.5,0.0,17,0
0.0,72.0,0.0,0.5,0.0,16,0
0.0,72.0,0.0,0.5,0.0,15,0
0.0,72.0,0.0,0.5,0.0,14,0
0.0,72.0,0.0,0.5,0.0,13,0
0.0,72.0,0.0,0.5,0.0,12,0
0.0,72.0,0.0,0.5,0.0,11,0
0.0,72.0,0.0,0.5,0.0,10,0
0.0,72.0,0.0,0.5,0.0,9,0
0.0,72.0,0.0,0.5,0.0,8,0
0.0,0.125,0.9463746504473173,0.0,0.0625,0,0
0.125,0.125,0.9168940528140875,0.0,0.0625,0,1
0.125,0.125,0.8255425245316824,0.875,1.0,2,1
0.125,0.125,0.9162984767989667,1.0,0.0625,1,1
0.125,0.125,0.8243540346330648,0.1250000000000001,1.0,3,1
0.25,0.125,0.7861936432839407,0.1250000000000001,1.0,3,2
0.25,0.125,0.8789315940419776,0.0,0.0625,0,2
0.25,0.125,0.8781380854498425,1.0,0.0625,1,2
0.25,0.125,0.7877759418560246,0.875,1.0,2,2
0.375,0.125,0.8255425245316824,0.875,1.0,2,3
0.375,0.125,0.9162984767989667,1.0,0.0625,1,3
0.375,0.125,0.8243540346330648,0.1250000000000001,1.0,3,3
0.375,0.125,0.9168940528140875,0.0,0.0625,0,3
0.5,0.25,0.8255425245316824,0.0,0.0625,4,1
0.5,0.25,0.732409592467163,0.1250000000000001,1.0,7,1
0.5,0.25,0.8243540346330648,1.0,0.0625,5,1
0.5,0.125,0.9458979759009166,1.0,0.0625,1,4
0.5,0.125,0.8539535337350149,0.1250000000000001,1.0,3,4
0.5,0.125,0.8549051760125779,0.875,1.0,2,4
0.5,0.125,0.9463746504473173,0.0,0.0625,0,4
0.5,0.25,0.7347760181940478,0.875,1.0,6,1
0.625,0.125,0.8255425245316824,0.875,1.0,2,5
0.625,0.125,0.9168940528140875,0.0,0.0625,0,5
0.625,0.125,0.8243540346330648,0.1250000000000001,1.0,3,5
0.625,0.125,0.9162984767989667,1.0,0.0625,1,5
0.75,0.125,0.9544588681480909,1.0,0.0625,1,6
0.75,0.5,0.6560888097689146,0.1250000000000001,1.0,7,2
0.75,0.5,0.7480332519348165,1.0,0.0625,5,2
0.75,0.125,0.9549058006667694,0.0,0.0625,0,6
0.75,0.125,0.862514425982189,0.1250000000000001,1.0,3,6
0.75,0.125,0.8634067902172675,0.875,1.0,2,6
